Momento,ipc
2014-09-01,0.15095730545019984
2014-10-01,0.17680451480847337
2014-11-01,0.17406762190188438
2014-12-01,0.16686112244382953
2015-01-01,0.16686112244382953
2015-02-01,0.13931992851569766
2015-03-01,0.1959791488320608
2015-04-01,0.17902748775951471
2015-05-01,0.18116765008279706
2015-06-01,0.14022424879064674
2015-07-01,0.16686112244382953
2015-08-01,0.16684908296746595
2015-09-01,0.1698421696248555
2015-10-01,0.16187075915336147
2015-11-01,0.16982093127194378
2015-12-01,0.16518008537870904
2016-01-01,0.17111877239220707
2016-02-01,0.1691293674793552
2016-03-01,0.16580617948044818
2016-04-01,0.1678424580409022
2016-05-01,0.16797149537385833
2016-06-01,0.16544547513958285
2016-07-01,0.1736792916315542
2016-08-01,0.1704302602547603
2016-09-01,0.1682978410738463
2016-10-01,0.15900360811228303
2016-11-01,0.16857337987215815
2016-12-01,0.1700904160123011
2017-01-01,0.1678340841278847
2017-02-01,0.16649791043682052
2017-03-01,0.15751807194568362
2017-04-01,0.1792530103689806
2017-05-01,0.1642707017544287
2017-06-01,0.15709119009335523
2017-07-01,0.1702886028477788
2017-08-01,0.17021997209565565
2017-09-01,0.16816883546389638
2017-10-01,0.1619989836643259
2017-11-01,0.16975195235210197
2017-12-01,0.16427055177743713
2018-01-01,0.1697058864881265
2018-02-01,0.16525273899564602
2018-03-01,0.17051326948762485
2018-04-01,0.1673393498838356
2018-05-01,0.15701947740682543
2018-06-01,0.1662864391564217
