Momento,ipc,ipcAcumulado
2014-09-01,0.16004697658087624,0.16004697658087624
2014-10-01,0.1703958260152028,0.33044280259607905
2014-11-01,0.16652113054997997,0.496963933146059
2014-12-01,0.16770077040557324,0.6646647035516322
2015-01-01,0.16433295265431974,0.828997656205952
2015-02-01,0.16308144245691358,0.9920790986628656
2015-03-01,0.16971840541625546,1.161797504079121
2015-04-01,0.17166399318958442,1.3334614972687056
2015-05-01,0.1709500771239924,1.504411574392698
2015-06-01,0.16083127923554622,1.6652428536282442
2015-07-01,0.16388853878822135,1.8291313924164656
2015-08-01,0.17006719043459229,1.999198582851058
2015-09-01,0.1681150089043027,2.1673135917553608
2015-10-01,0.1698863968157248,2.3371999885710855
2015-11-01,0.16737232102514918,2.5045723095962344
2015-12-01,0.16596712281512366,2.670539432411358
2016-01-01,0.16948222634486562,2.8400216587562235
2016-02-01,0.17070173036879258,3.0107233891250162
2016-03-01,0.1680380558150995,3.1787614449401156
2016-04-01,0.16660245992963435,3.34536390486975
2016-05-01,0.16453475124716785,3.509898656116918
2016-06-01,0.1689550785875136,3.6788537347044317
2016-07-01,0.1713195405475933,3.850173275252025
2016-08-01,0.16888048710501155,4.019053762357037
2016-09-01,0.16852166580962008,4.187575428166657
2016-10-01,0.16224955086828233,4.349824979034939
2016-11-01,0.17023584526570495,4.520060824300645
2016-12-01,0.1679411260943435,4.688001950394988
2017-01-01,0.16665206021667084,4.854654010611659
2017-02-01,0.1685100390636436,5.0231640496753025
2017-03-01,0.16105678926800124,5.184220838943304
2017-04-01,0.16781825168715025,5.352039090630454
2017-05-01,0.16875719074713263,5.520796281377587
2017-06-01,0.1607252469449944,5.681521528322581
2017-07-01,0.16784054487694,5.849362073199521
2017-08-01,0.16948713837372617,6.018849211573247
2017-09-01,0.16500393088894208,6.18385314246219
2017-10-01,0.16441399178500055,6.34826713424719
2017-11-01,0.1684454551710464,6.516712589418237
2017-12-01,0.1650383381228484,6.681750927541085
2018-01-01,0.17121566896792081,6.852966596509006
2018-02-01,0.16894785146329555,7.021914447972302
2018-03-01,0.16579688845869694,7.187711336430999
2018-04-01,0.1630013838020143,7.350712720233013
2018-05-01,0.16095165524269714,7.511664375475711
2018-06-01,0.17041685754738994,7.6820812330231005
